code,status,rows,last_date
sh.600000,ok,1942,2025-12-31
sh.600519,ok,1942,2025-12-31
sz.000001,ok,1942,2025-12-31
sz.300750,ok,1837,2025-12-31
sh.601318,ok,1942,2025-12-31
sh.600004,ok,1942,2025-12-31
sh.600006,ok,1937,2025-12-31
sh.600007,ok,1942,2025-12-31
sh.600008,ok,1936,2025-12-31
sh.600009,ok,1931,2025-12-31
sh.600010,ok,1933,2025-12-31
sh.600011,ok,1942,2025-12-31
sh.600015,ok,1942,2025-12-31
sh.600016,ok,1942,2025-12-31
sh.600017,ok,1942,2025-12-31
sh.600018,ok,1942,2025-12-31
sh.600019,ok,1942,2025-12-31
sh.600021,ok,1942,2025-12-31
sh.600022,ok,1845,2025-12-31
sh.600023,ok,1942,2025-12-31
sh.600025,ok,1942,2025-12-31
sh.600026,ok,1940,2025-12-31
sh.600027,ok,1931,2025-12-31
sh.600028,ok,1942,2025-12-31
sh.600029,ok,1942,2025-12-31
sh.600030,ok,1925,2025-12-31
sh.600031,ok,1942,2025-12-31
sh.600032,ok,1120,2025-12-31
sh.600036,ok,1942,2025-12-31
sh.600037,ok,1936,2025-12-31
sh.600038,ok,1932,2025-12-31
sh.600039,ok,1930,2025-12-31
sh.600048,ok,1942,2025-12-31
sh.600050,ok,1942,2025-12-31
sh.600053,ok,1937,2025-12-31
sh.600056,ok,1942,2025-12-31
sh.600058,ok,1940,2025-12-29
sh.600059,ok,1942,2025-12-31
sh.600060,ok,1942,2025-12-31
sh.600061,ok,1942,2025-12-31
sh.600062,ok,1942,2025-12-31
sh.600064,ok,1941,2025-12-31
sh.600066,ok,1941,2025-12-31
sh.600068,fail,0,
sh.600073,ok,1942,2025-12-31
sh.600074,fail,0,
sh.600079,ok,1931,2025-12-31
sh.600085,ok,1942,2025-12-31
sh.600086,fail,0,
sh.600089,ok,1942,2025-12-31
sh.600094,ok,1942,2025-12-31
sh.600095,ok,1922,2025-12-31
sh.600096,ok,1942,2025-12-31
sh.600098,ok,1942,2025-12-31
sh.600100,ok,1942,2025-12-31
sh.600104,ok,1942,2025-12-31
sh.600108,ok,1942,2025-12-31
sh.600109,ok,1932,2025-12-31
sh.600111,ok,1942,2025-12-31
sh.600115,ok,1942,2025-12-31
sh.600118,ok,1942,2025-12-31
sh.600120,ok,1942,2025-12-31
sh.600122,fail,0,
sh.600125,ok,1942,2025-12-31
sh.600126,ok,1935,2025-12-31
sh.600129,ok,1942,2025-12-31
sh.600131,ok,1931,2025-12-31
sh.600132,ok,1942,2025-12-31
sh.600138,ok,1942,2025-12-31
sh.600141,ok,1941,2025-12-31
sh.600143,ok,1942,2025-12-31
sh.600150,ok,1864,2025-12-31
sh.600151,ok,1942,2025-12-31
sh.600153,ok,1942,2025-12-31
sh.600155,ok,1942,2025-12-31
sh.600157,ok,1762,2025-12-31
sh.600158,ok,1866,2025-12-31
sh.600160,ok,1932,2025-12-31
sh.600161,ok,1942,2025-12-31
sh.600166,ok,1942,2025-12-31
sh.600167,ok,1938,2025-12-31
sh.600169,ok,1941,2025-12-31
sh.600170,ok,1942,2025-12-31
sh.600171,ok,1942,2025-12-31
sh.600176,ok,1932,2025-12-31
sh.600177,ok,1942,2025-12-31
sh.600179,ok,1897,2025-12-31
sh.600183,ok,1942,2025-12-31
sh.600184,ok,1942,2025-12-31
sh.600187,ok,1888,2025-12-31
sh.600188,ok,1942,2025-12-31
sh.600195,ok,1942,2025-12-31
sh.600196,ok,1942,2025-12-31
sh.600201,ok,1942,2025-12-31
sh.600208,ok,1931,2025-12-31
sh.600216,ok,1942,2025-12-31
sh.600219,ok,1936,2025-12-31
sh.600221,ok,1811,2025-12-31
sh.600233,ok,1942,2025-12-31
sh.600236,ok,1942,2025-12-31
sh.600240,fail,0,
sh.600256,ok,1929,2025-12-31
sh.600258,ok,1942,2025-12-31
sh.600259,ok,1942,2025-12-31
sh.600260,fail,0,
sh.600266,ok,1942,2025-12-31
sh.600267,ok,1932,2025-12-31
sh.600270,fail,0,
sh.600271,ok,1942,2025-12-31
sh.600273,ok,1897,2025-12-31
sh.600276,ok,1942,2025-12-31
sh.600277,fail,0,
sh.600280,ok,1940,2025-12-31
sh.600282,ok,1933,2025-12-31
sh.600284,ok,1941,2025-12-31
sh.600289,ok,1888,2025-12-31
sh.600291,fail,0,
sh.600292,ok,1932,2025-12-31
sh.600295,ok,1941,2025-12-31
sh.600297,fail,0,
sh.600298,ok,1942,2025-12-31
sh.600299,ok,1942,2025-12-31
sh.600300,ok,1938,2025-12-31
sh.600307,ok,1942,2025-12-31
sh.600309,ok,1836,2025-12-31
sh.600312,ok,1942,2025-12-31
sh.600315,ok,1942,2025-12-31
sh.600316,ok,1942,2025-12-31
sh.600317,fail,0,
sh.600325,ok,1942,2025-12-31
sh.600329,ok,1941,2025-12-31
sh.600332,ok,1938,2025-12-31
sh.600335,ok,1817,2025-12-31
sh.600338,ok,1942,2025-12-31
sh.600339,ok,1942,2025-12-31
sh.600340,ok,1927,2025-12-31
sh.600346,ok,1942,2025-12-31
sh.600348,ok,1942,2025-12-31
sh.600350,ok,1942,2025-12-31
sh.600352,ok,1942,2025-12-31
sh.600361,ok,1931,2025-12-31
sh.600362,ok,1942,2025-12-31
sh.600363,ok,1942,2025-12-31
sh.600366,ok,1941,2025-12-31
sh.600369,ok,1942,2025-12-31
sh.600372,ok,1924,2025-12-31
sh.600373,ok,1939,2025-12-31
sh.600376,ok,1942,2025-12-31
sh.600377,ok,1942,2025-12-31
sh.600378,ok,1876,2025-12-31
sh.600380,ok,1936,2025-12-31
sh.600383,ok,1942,2025-12-31
sh.600388,ok,1936,2025-12-31
sh.600390,ok,1942,2025-12-31
sh.600392,ok,1942,2025-12-31
sh.600393,fail,0,
sh.600395,ok,1942,2025-12-31
sh.600398,ok,1937,2025-12-31
sh.600399,ok,1738,2025-12-31
sh.600406,ok,1942,2025-12-31
sh.600409,ok,1942,2025-12-31
sh.600410,ok,1942,2025-12-31
sh.600415,ok,1942,2025-12-31
sh.600416,ok,1940,2025-12-31
sh.600418,ok,1942,2025-12-31
sh.600422,ok,1940,2025-12-31
sh.600426,ok,1942,2025-12-31
sh.600428,ok,1942,2025-12-31
sh.600435,ok,1942,2025-12-31
sh.600436,ok,1942,2025-12-31
sh.600438,ok,1942,2025-12-31
sh.600446,ok,1927,2025-12-31
sh.600458,ok,1942,2025-12-31
sh.600460,ok,1931,2025-12-31
sh.600466,fail,0,
sh.600478,ok,1941,2025-12-31
sh.600481,ok,1942,2025-12-31
sh.600482,ok,1921,2025-12-31
sh.600483,ok,1933,2025-12-31
sh.600485,fail,0,
sh.600486,ok,1937,2025-12-31
sh.600487,ok,1931,2025-12-31
sh.600489,ok,1931,2025-12-31
sh.600497,ok,1932,2025-12-31
sh.600498,ok,1942,2025-12-31
sh.600499,ok,1942,2025-12-31
sh.600500,ok,1933,2025-12-31
sh.600503,ok,1942,2025-12-31
sh.600507,ok,1942,2025-12-31
sh.600511,ok,1942,2025-12-31
sh.600515,ok,1803,2025-12-31
sh.600516,ok,1942,2025-12-31
sh.600517,ok,1931,2025-12-31
sh.600518,ok,1907,2025-12-31
sh.600521,ok,1942,2025-12-31
sh.600522,ok,1942,2025-12-31
sh.600525,ok,1929,2025-12-31
sh.600528,ok,1942,2025-12-31
sh.600529,ok,1942,2025-12-31
sh.600535,ok,1940,2025-12-31
sh.600536,ok,1940,2025-12-31
sh.600545,ok,1942,2025-12-31
sh.600546,ok,1897,2025-12-31
sh.600547,ok,1941,2025-12-31
sh.600549,ok,1942,2025-12-31
sh.600556,ok,1939,2025-12-31
sh.600557,ok,1942,2025-12-31
sh.600562,ok,1941,2025-12-31
sh.600563,ok,1942,2025-12-31
sh.600565,fail,0,
sh.600566,ok,1941,2025-12-31
sh.600567,ok,1942,2025-12-31
sh.600570,ok,1942,2025-12-31
sh.600572,ok,1941,2025-12-31
sh.600575,ok,1907,2025-12-31
sh.600578,ok,1942,2025-12-31
sh.600580,ok,1942,2025-12-31
sh.600582,ok,1942,2025-12-31
sh.600583,ok,1942,2025-12-31
sh.600584,ok,1937,2025-12-31
sh.600585,ok,1942,2025-12-31
sh.600587,ok,1942,2025-12-31
sh.600588,ok,1942,2025-12-31
sh.600594,ok,1942,2025-12-31
sh.600597,ok,1942,2025-12-31
sh.600598,ok,1942,2025-12-31
sh.600600,ok,1942,2025-12-31
sh.600601,ok,1938,2025-12-31
sh.600602,ok,1942,2025-12-31
sh.600606,ok,1937,2025-12-31
sh.600611,ok,1942,2025-12-31
sh.600612,ok,1942,2025-12-31
sh.600614,fail,0,
sh.600618,ok,1942,2025-12-31
sh.600623,ok,1942,2025-12-31
sh.600628,ok,1942,2025-12-31
sh.600633,ok,1942,2025-12-31
sh.600635,ok,1942,2025-12-31
sh.600637,ok,1942,2025-12-31
sh.600639,ok,1942,2025-12-31
sh.600640,ok,1942,2025-12-31
sh.600642,ok,1942,2025-12-31
sh.600643,ok,1941,2025-12-31
sh.600645,ok,1924,2025-12-31
sh.600648,ok,1942,2025-12-31
sh.600649,ok,1942,2025-12-31
sh.600651,ok,1926,2025-12-31
sh.600655,ok,1937,2025-12-31
sh.600657,ok,1937,2025-12-31
sh.600660,ok,1942,2025-12-31
sh.600663,ok,1932,2025-12-31
sh.600664,ok,1906,2025-12-31
sh.600667,ok,1942,2025-12-31
sh.600673,ok,1921,2025-12-31
sh.600674,ok,1942,2025-12-31
sh.600675,ok,1942,2025-12-31
sh.600682,ok,1859,2025-12-31
sh.600685,ok,1881,2025-12-31
sh.600687,fail,0,
sh.600688,ok,1942,2025-12-31
sh.600690,ok,1940,2025-12-31
sh.600694,ok,1942,2025-12-31
sh.600699,ok,1942,2025-12-31
sh.600703,ok,1942,2025-12-31
sh.600704,ok,1942,2025-12-31
sh.600705,fail,0,
sh.600707,ok,1941,2025-12-31
sh.600717,ok,1942,2025-12-31
sh.600718,ok,1932,2025-12-31
sh.600720,ok,1932,2025-12-31
sh.600728,ok,1942,2025-12-31
sh.600729,ok,1919,2025-12-31
sh.600732,ok,1938,2025-12-31
sh.600733,ok,1762,2025-12-31
sh.600737,ok,1942,2025-12-31
sh.600739,ok,1942,2025-12-31
sh.600741,ok,1942,2025-12-31
sh.600743,ok,1942,2025-12-31
sh.600745,ok,1773,2025-12-31
sh.600748,ok,1941,2025-12-31
sh.600750,ok,1877,2025-12-31
sh.600751,ok,1771,2025-12-31
sh.600754,ok,1942,2025-12-31
sh.600755,ok,1941,2025-12-31
sh.600757,ok,1942,2025-12-31
sh.600759,ok,1804,2025-12-31
sh.600760,ok,1942,2025-12-31
sh.600763,ok,1942,2025-12-31
sh.600764,ok,1818,2025-12-31
sh.600765,ok,1932,2025-12-31
sh.600770,ok,1942,2025-12-31
sh.600773,ok,1942,2025-12-31
sh.600776,ok,1942,2025-12-31
sh.600777,ok,1850,2025-12-31
sh.600779,ok,1940,2025-12-31
sh.600782,ok,1942,2025-12-31
sh.600787,ok,1942,2025-12-31
sh.600795,ok,1942,2025-12-31
sh.600801,ok,1940,2025-12-31
sh.600803,ok,1910,2025-12-31
sh.600804,fail,0,
sh.600808,ok,1942,2025-12-31
sh.600809,ok,1932,2025-12-31
sh.600811,fail,0,
sh.600816,ok,1886,2025-12-31
sh.600820,ok,1942,2025-12-31
sh.600823,fail,0,
sh.600826,ok,1931,2025-12-31
sh.600827,ok,1942,2025-12-31
sh.600835,ok,1942,2025-12-31
sh.600837,fail,0,
sh.600839,ok,1942,2025-12-31
sh.600845,ok,1941,2025-12-31
sh.600848,ok,1865,2025-12-31
sh.600859,ok,1924,2025-12-31
sh.600862,ok,1942,2025-12-31
sh.600863,ok,1934,2025-12-31
sh.600867,ok,1942,2025-12-31
sh.600869,ok,1929,2025-12-31
sh.600871,ok,1940,2025-12-31
sh.600872,ok,1942,2025-12-31
